Safranin;100;ml;Lemari Depo I;cair;;;;;;;;
Eosin;100;ml;Lemari Depo I;cair;;;;;;;;
Asam Piruvat;25;ml;Lemari Depo I;cair;;;;;;;;
Erlich Reagen;50;ml;Lemari Depo I;cair;;;;;;;;
Larutan Giemsa;200;ml;Lemari Depo I;cair;;;;;;;;
Ammonium Oksalat;200;ml;Lemari Depo I;cair;;;;;;;;
Reagen Barfoed;100;ml;Lemari Depo I;cair;;;;;;;;
Reagen Millon;300;ml;Lemari Depo I;cair;;;;;;;;
Reagen Wagner;100;ml;Lemari Depo I;cair;;;;;;;;
Reagen Biuret;100;ml;Lemari Depo I;cair;;;;;;;;
Pereaksi Marquis;100;ml;Lemari Depo I;cair;;;;;;;;
Acetaldehyde Solution;500;ml;Lemari Depo I;cair;;;;;;;;
Aceton;1000;ml;Lemari Depo I;cair;;;;;;;;
Hidroclorida Acid Fuming 37%;2500;ml;Lemari Depo I;cair;;;;;;;;
LPCB;500;ml;Lemari Depo I;cair;;;;;;;;
Indikator Ferroin;100;ml;Lemari Depo I;cair;;;;;;;;
Buffer PBS pH 7,4 EXP 2024;50;ml;Lemari Depo I;cair;;;;;;;;
Larutan PBS;200;ml;Lemari Depo I;cair;;;;;;;;
Buffer Ammonium pH 7;10;ml;Lemari Depo I;cair;;;;;;;;
Reagen Barfoed;80;ml;Lemari Depo I;cair;;;;;;;;
Methyl Red/Metil Merah EXP 2025;100;ml;Lemari Depo I;cair;;;;;;;;
Larutan Eosin;200;ml;Lemari Depo I;cair;;;;;;;;
Reagen Toluene;200;ml;Lemari Depo I;cair;;;;;;;;
Corong Paling Kecil (10 mm);20;pcs;Lab. Kimia;alat;;;;;;;;
Corong Kecil (25 mm);35;pcs;Lab. Kimia;alat;;;;;;;;
Corong Sedang (75 mm);30;pcs;Lab. Kimia;alat;;;;;;;;
Corong Besar ( 100 mm );15;pcs;Lab. Kimia;alat;;;;;;;;
Gelas Ukur 10 ML;50;pcs;Lab. Kimia;alat;;;;;;;;
Gelas Ukur 100 ML;30;pcs;Lab. Kimia;alat;;;;;;;;
Gelas Ukur 1000 ML;30;pcs;Lab. Kimia;alat;;;;;;;;
Gelas Ukur 25 ML;20;pcs;Lab. Kimia;alat;;;;;;;;
Gelas Ukur 250 ML;20;pcs;Lab. Kimia;alat;;;;;;;;
Gelas Ukur 5 ML;0;pcs;Lab. Kimia;alat;;;;;;;;
Gelas Ukur 50 ML;20;pcs;Lab. Kimia;alat;;;;;;;;
Gelas Ukur 500 ML;10;pcs;Lab. Kimia;alat;;;;;;;;
Labu Ukur 10 ML;50;pcs;Lab. Kimia;alat;;;;;;;;
Labu Ukur 100 ML;50;pcs;Lab. Kimia;alat;;;;;;;;
Labu Ukur 1000 ML;20;pcs;Lab. Kimia;alat;;;;;;;;
Labu Ukur 25 ML;30;pcs;Lab. Kimia;alat;;;;;;;;
Labu Ukur 250 ML;10;pcs;Lab. Kimia;alat;;;;;;;;
Labu Ukur 50 ML;20;pcs;Lab. Kimia;alat;;;;;;;;
Labu Ukur 500 ML;10;pcs;Lab. Kimia;alat;;;;;;;;
Piknometer 10 ML;10;pcs;Lab. Kimia;alat;;;;;;;;
Piknometer 25 ML;20;pcs;Lab. Kimia;alat;;;;;;;;
Pipa T;7;pcs;Lab. Kimia;alat;;;;;;;;
Pipa;6;pcs;Lab. Kimia;alat;;;;;;;;
Labu Alas Bulat 100 ML;5;pcs;Lab. Kimia;alat;;;;;;;;
Labu Alas Bulat 1000 ML;5;pcs;Lab. Kimia;alat;;;;;;;;
Labu Alas Bulat 500 ML;10;pcs;Lab. Kimia;alat;;;;;;;;
Botol infus 250 ML;10;pcs;Lab. Kimia;alat;;;;;;;;
Botol infus 100 ML;100;pcs;Lab. Kimia;alat;;;;;;;;
Chamber Besar ;2;pcs;Lab. Kimia;alat;;;;;;;;
Chamber Kecil;8;pcs;Lab. Kimia;alat;;;;;;;;
Cover Glass;300;pcs;Lab. Kimia;alat;;;;;;;;
Erlenmayer 100 ML;30;pcs;Lab. Kimia;alat;;;;;;;;
Erlenmayer 1000 ML;15;pcs;Lab. Kimia;alat;;;;;;;;
Erlenmayer 1000 ML (Corong Pemisah);6;pcs;Lab. Kimia;alat;;;;;;;;
Erlenmayer 250 ML;20;pcs;Lab. Kimia;alat;;;;;;;;
Erlenmayer 250 ML (Corong Pemisah);6;pcs;Lab. Kimia;alat;;;;;;;;
Erlenmayer 50 ML;10;pcs;Lab. Kimia;alat;;;;;;;;
Erlenmayer 500 ML;10;pcs;Lab. Kimia;alat;;;;;;;;
Gelas Beaker 100 ML;50;pcs;Lab. Kimia;alat;;;;;;;;
Gelas Beaker 1000 ML;20;pcs;Lab. Kimia;alat;;;;;;;;
Gelas Beaker 200 ML;6;pcs;Lab. Kimia;alat;;;;;;;;
Gelas Beaker 250 ML;37;pcs;Lab. Kimia;alat;;;;;;;;
Gelas Beaker 50 ML;39;pcs;Lab. Kimia;alat;;;;;;;;
Gelas Beaker 500 ML;33;pcs;Lab. Kimia;alat;;;;;;;;
Kaca Arloji Besar;12;pcs;Lab. Kimia;alat;;;;;;;;
Kaca Arloji Kecil;17;pcs;Lab. Kimia;alat;;;;;;;;
Kaca Arloji Sedang;27;pcs;Lab. Kimia;alat;;;;;;;;
Lampu Spritus;26;pcs;Lab. Kimia;alat;;;;;;;;
Objek Glass;450;pcs;Lab. Kimia;alat;;;;;;;;
Prasitologi (Sample Objek Glass);1;pcs;Lab. Kimia;alat;;;;;;;;
Tabung Darah;152;pcs;Lab. Kimia;alat;;;;;;;;
Tabung Durham ;156;pcs;Lab. Kimia;alat;;;;;;;;
Tabung Haematokrit;6;pcs;Lab. Kimia;alat;;;;;;;;
Tabung Reaksi (Paling Besar);80;pcs;Lab. Kimia;alat;;;;;;;;
Tabung Reaksi (Sedang) 50 ml;59;pcs;Lab. Kimia;alat;;;;;;;;
Tabung Reaksi Panjang 100 ml;252;pcs;Lab. Kimia;alat;;;;;;;;
Tabung Reaksi Pendek;31;pcs;Lab. Kimia;alat;;;;;;;;
Tabung Urin;26;pcs;Lab. Kimia;alat;;;;;;;;
Buret 25 ML;10;pcs;Lab. Kimia;alat;;;;;;;;
Buret 50 ML;15;pcs;Lab. Kimia;alat;;;;;;;;
Corong Pisah 100 ML;5;pcs;Lab. Kimia;alat;;;;;;;;
Corong Pisah 125 ML;5;pcs;Lab. Kimia;alat;;;;;;;;
Corong Pisah 250 ML;10;pcs;Lab. Kimia;alat;;;;;;;;
Destilator;7;pcs;Lab. Kimia;alat;;;;;;;;
Pendingin Lebigh;6;pcs;Lab. Kimia;alat;;;;;;;;
Petri Disk Besar;20;pcs;Lab. Kimia;alat;;;;;;;;
Petri Disk Sedang;100;pcs;Lab. Kimia;alat;;;;;;;;
Pipet Ukur 1 ML;10;pcs;Lab. Kimia;alat;;;;;;;;
Pipet Ukur 10 ML;26;pcs;Lab. Kimia;alat;;;;;;;;
Pipet Ukur 2 ML;17;pcs;Lab. Kimia;alat;;;;;;;;
Pipet Ukur 5 ML;13;pcs;Lab. Kimia;alat;;;;;;;;
Pipet Volume 1 ML;20;pcs;Lab. Kimia;alat;;;;;;;;
Pipet Volume 10 ML;20;pcs;Lab. Kimia;alat;;;;;;;;
Pipet Volume 2 ML;20;pcs;Lab. Kimia;alat;;;;;;;;
Pipet Volume 25 ML;20;pcs;Lab. Kimia;alat;;;;;;;;
Pipet Volume 5 ML;20;pcs;Lab. Kimia;alat;;;;;;;;
Pipet Westegreen;10;pcs;Lab. Kimia;alat;;;;;;;;
Tabung Kondensor;5;pcs;Lab. Kimia;alat;;;;;;;;
Viscometer Oswald;4;pcs;Lab. Kimia;alat;;;;;;;;
Asbes;34;pcs;Lab. Kimia;alat;;;;;;;;
